Time,Baseline,IndexFund,MovingAverage,MovingAverageWithSentiment,SelectionBySentiment,SelectionBySentiment(AllStocks),SelectionBySentiment(OneStock)
"2014-09-04T08:00:00Z",1524247.944602,1192700.985105,1249160.415147,1332781.258802,4908094.324012,5009920.976979,2485784.174377
"2014-09-05T08:00:00Z",1518381.916673,1190517.308925,1243863.371914,1327009.579611,4908974.698019,4971696.804568,2484527.000107
"2014-09-08T08:00:00Z",1515262.835732,1195973.485105,1241071.523461,1325287.028710,4866377.431666,4928555.067748,2497088.000107
"2014-09-09T08:00:00Z",1518641.530578,1192141.647025,1243857.065150,1331212.985530,4866702.922456,4951690.964258,2545373.735137
"2014-09-10T08:00:00Z",1511867.145889,1184811.279155,1239772.316408,1326619.407788,4817189.170007,4901312.250367,2528694.616087
"2014-09-11T08:00:00Z",1518395.097901,1187453.044645,1240911.882241,1327880.028520,4823517.225301,4907751.506623,2537379.654664
"2014-09-12T08:00:00Z",1517785.793594,1189767.602975,1240962.470662,1327858.436435,4824193.300083,4908439.584105,2537729.616087
"2014-09-15T08:00:00Z",1508849.666918,1183401.132130,1238785.646938,1318392.047702,4809588.563256,4893574.946112,2577846.391014
"2014-09-16T08:00:00Z",1486481.464976,1180955.691055,1229119.437363,1296995.348416,4654939.494389,4716443.387261,2502364.786379
"2014-09-17T08:00:00Z",1492876.102400,1191290.838080,1227337.969839,1306806.871837,4706749.486277,4768939.260361,2620640.756501
"2014-09-18T08:00:00Z",1495661.738493,1193533.926795,1228449.202098,1308893.040648,4741259.072495,4842155.148145,2637707.654132
"2014-09-19T08:00:00Z",1494251.718996,1199287.602975,1228808.147846,1310870.013294,4757834.139046,4859077.316961,2654075.513389
"2014-09-22T08:00:00Z",1490955.322354,1197109.882745,1225101.680579,1306252.305051,4747083.141524,4843891.463948,2641350.025281
"2014-09-23T08:00:00Z",1479344.680127,1187411.426180,1213748.920344,1300319.626644,4567115.088829,4711680.824181,2618355.083887
"2014-09-24T08:00:00Z",1485529.172445,1181794.588695,1219542.664648,1306363.523195,4623226.983591,4769570.356880,2656850.808892
"2014-09-25T08:00:00Z",1489464.237585,1190112.676795,1220322.659700,1309039.058607,4646906.004415,4793992.205830,2613928.856880
"2014-09-26T08:00:00Z",1483366.160115,1171608.191670,1211728.199587,1299571.960910,4573029.721887,4719237.791388,2613436.992872
"2014-09-29T08:00:00Z",1487216.935043,1179188.485720,1214068.850037,1301615.011399,4566944.531837,4745281.941396,2616619.952444
"2014-09-30T08:00:00Z",1511693.573145,1178742.235720,1229015.253027,1319386.503916,4666939.386661,4849182.068988,2673911.686348
"2014-10-01T08:00:00Z",1500341.609079,1174714.073820,1223868.058037,1313221.633234,4656736.614073,4838581.532784,2668076.353300
"2014-10-02T08:00:00Z",1493377.950315,1159476.132745,1214435.509147,1304716.832876,4572920.747643,4751494.056494,2633052.699824
"2014-10-03T08:00:00Z",1508617.860004,1160838.705950,1217129.859147,1309532.466709,4643978.047087,4825326.440602,2673961.298598
"2014-10-06T08:00:00Z",1514514.454702,1173863.264875,1215650.912661,1308892.330985,4683355.238283,4866242.454579,2696631.579590
"2014-10-07T08:00:00Z",1515188.334802,1169311.500000,1212885.189649,1303209.684556,4731009.538619,4915758.566100,2691740.854524
"2014-10-08T08:00:00Z",1504523.685837,1153359.588080,1203541.783163,1298050.141522,4690674.190940,4873837.960852,2661348.169722
"2014-10-09T08:00:00Z",1520094.430778,1172476.941055,1206499.680151,1302790.545093,4767922.161870,4957473.035441,2699763.534788
"2014-10-10T08:00:00Z",1505937.648506,1147457.161900,1181703.313054,1285941.527871,4582006.918773,4786903.146641,2624304.559688
"2014-10-13T08:00:00Z",1506745.325064,1135569.073205,1183604.865867,1283862.459173,4614989.390208,4787636.047746,2640972.879688
"2014-10-14T08:00:00Z",1503586.829086,1118587.750000,1184529.972219,1274430.964574,4497306.170412,4665548.309080,2526730.402198
"2014-10-15T08:00:00Z",1494019.307442,1116844.441055,1183253.572219,1255638.185541,4369268.455935,4532719.573687,2435390.902198
"2014-10-16T08:00:00Z",1491750.218217,1105997.529770,1184358.422219,1252238.354211,4328609.963855,4490538.771531,2404794.599008
"2014-10-17T08:00:00Z",1510754.977755,1111328.779155,1206115.472219,1269899.678207,4582833.385001,4754274.034965,2521639.466948
"2014-10-20T08:00:00Z",1520321.970750,1123651.205950,1195675.712219,1274806.718207,4770223.435001,4948674.604965,2624742.566948
"2014-10-21T08:00:00Z",1539915.870750,1137788.411900,1215216.102219,1280652.448207,4883055.375001,5065727.904965,2686821.166948
"2014-10-22T08:00:00Z",1517252.223480,1156774.882130,1203556.577673,1267762.722677,4962358.580917,5147992.415591,2730456.896230
"2014-10-23T08:00:00Z",1529089.539385,1150664.220825,1206579.671252,1273404.149926,5017140.460917,5192848.639103,2615152.896230
"2014-10-24T08:00:00Z",1540360.927347,1162903.338695,1223253.184358,1290017.890468,5095481.960917,5308278.959147,2636978.366230
